Date,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU,SPY
2018-06-18,,51.878028869628906,40.96751403808594,26.43402671813965,23.561243057250977,73.82598876953125,65.47811889648438,25.34873580932617,23.99407958984375,33.312255859375,19.37013816833496,244.8601531982422
2018-06-19,46.20410537719727,51.81313705444336,41.1852912902832,26.374027252197266,23.501100540161133,74.01788330078125,64.09520721435547,24.884984970092773,24.02459144592285,33.140586853027344,19.56110954284668,243.9216766357422
2018-06-20,46.77750015258789,52.05880737304688,41.22562026977539,26.4904727935791,23.44094657897949,74.1749038696289,64.13899993896484,24.804140090942383,24.283899307250977,33.21018981933594,19.576698303222656,244.33782958984372
2018-06-21,46.49079895019531,51.687984466552734,41.30628204345703,25.999977111816406,23.372211456298828,73.74751281738281,63.333744049072266,24.54036331176757,24.428808212280277,32.955013275146484,19.642961502075195,242.80601501464844
2018-06-22,46.69425964355469,51.59992218017578,41.64506530761719,26.518705368041992,23.260498046875,74.07894897460938,63.55257415771485,24.897750854492188,24.64236259460449,32.84830856323242,19.779359817504883,243.2487945556641
2018-06-25,45.73244857788086,50.47817611694336,41.85478210449219,25.985864639282227,23.011314392089844,73.39859008789062,62.747318267822266,24.51058387756348,24.581348419189453,32.1662712097168,20.106746673583984,239.93746948242188
2018-06-26,45.808292388916016,50.8397216796875,41.67731094360352,26.314037322998047,22.93397521972656,73.17182159423828,62.98363876342773,24.60418128967285,24.711000442504883,32.29618453979492,20.1301326751709,240.46875
2018-06-27,45.40875244140625,50.181522369384766,41.58860778808594,26.666915893554688,22.65041732788086,72.5525131225586,62.47599029541016,24.527597427368164,24.64236259460449,31.85543632507324,20.22756767272949,238.47659301757807
2018-06-28,45.861915588378906,50.57551956176758,41.58860778808594,26.63162612915039,22.84804344177246,72.64846801757812,62.56353759765625,24.62120246887207,24.88642311096191,32.245147705078125,20.219772338867188,239.8401641845703
2018-06-29,45.80643844604492,50.6635971069336,41.564395904541016,26.797483444213867,22.84804344177246,72.7967529296875,62.69480895996094,24.70629119873047,24.94743537902832,32.23122024536133,20.250953674316406,240.18539428710932
2018-07-02,46.0931282043457,50.73312377929688,41.32241439819336,26.40225982666016,22.959753036499023,73.02354431152344,62.8348503112793,24.574398040771484,24.802528381347656,32.51888656616211,20.395160675048828,240.69891357421875
2018-07-03,45.52898025512695,50.47817611694336,41.41920852661133,26.56810760498047,22.75352668762207,73.19796752929688,62.6335334777832,24.531848907470703,24.94743537902832,32.133792877197266,20.453615188598636,239.8489227294922
2018-07-05,46.22259140014648,50.72847366333008,41.99190521240234,26.539884567260746,22.80508613586425,73.95684051513672,62.93986129760742,24.74458122253418,25.275390625,32.588478088378906,20.562746047973636,241.8055725097656
2018-07-06,46.95322799682617,51.12712478637695,42.1209602355957,26.70220947265625,22.916786193847656,75.02096557617188,63.15869140625,24.86796188354492,25.38216018676757,32.96892166137695,20.722536087036133,243.85079956054688
2018-07-09,47.22140884399414,51.73896789550781,41.95962905883789,27.100950241088867,23.44094657897949,75.57044982910156,64.33154296875,25.08919906616211,25.145736694335938,33.21946716308594,20.083364486694336,246.0465087890625
2018-07-10,47.20198059082031,51.850223541259766,42.4597282409668,27.302085876464844,23.35502052307129,75.85829162597656,64.53284454345703,25.30192756652832,25.267765045166016,33.298336029052734,20.274333953857425,246.9319305419922
2018-07-11,47.138179779052734,51.72970581054688,42.32260894775391,26.7233829498291,23.243310928344727,75.2564468383789,63.473777770996094,24.87647247314453,25.191495895385746,33.16842269897461,20.457517623901367,245.12582397460932
2018-07-12,47.87804412841797,52.07270812988281,42.266143798828125,26.769248962402344,23.286279678344727,76.09379577636719,64.21775817871094,24.93603515625,25.252513885498047,33.692710876464844,20.473100662231445,247.3480682373047
